Date,Open,High,Low,Close,Adj Close,Volume
10/8/2014,1935.550049,1970.359985,1925.25,1968.890015,1968.890015,4441890000
10/9/2014,1967.680054,1967.680054,1927.560059,1928.209961,1928.209961,4344020000
10/10/2014,1925.630005,1936.97998,1906.050049,1906.130005,1906.130005,4550540000
10/13/2014,1905.650024,1912.089966,1874.140015,1874.73999,1874.73999,4352580000
10/14/2014,1877.109985,1898.709961,1871.790039,1877.699951,1877.699951,4812010000
10/15/2014,1874.180054,1874.180054,1820.660034,1862.48999,1862.48999,6090800000
10/16/2014,1855.949951,1876.01001,1835.02002,1862.76001,1862.76001,5073150000
10/17/2014,1864.910034,1898.160034,1864.910034,1886.76001,1886.76001,4482120000
10/20/2014,1885.619995,1905.030029,1882.300049,1904.01001,1904.01001,3331210000
10/21/2014,1909.380005,1942.449951,1909.380005,1941.280029,1941.280029,3987090000
10/22/2014,1941.290039,1949.310059,1926.829956,1927.109985,1927.109985,3761930000
10/23/2014,1931.02002,1961.949951,1931.02002,1950.819946,1950.819946,3789250000
10/24/2014,1951.589966,1965.27002,1946.27002,1964.579956,1964.579956,3078380000
10/27/2014,1962.969971,1964.640015,1951.369995,1961.630005,1961.630005,3538860000
10/28/2014,1964.140015,1985.050049,1964.140015,1985.050049,1985.050049,3653260000
10/29/2014,1983.290039,1991.400024,1969.040039,1982.300049,1982.300049,3740350000
10/30/2014,1979.48999,1999.400024,1974.75,1994.650024,1994.650024,3586150000
10/31/2014,2001.199951,2018.189941,2001.199951,2018.050049,2018.050049,4292290000
11/3/2014,2018.209961,2024.459961,2013.680054,2017.810059,2017.810059,3555440000
11/4/2014,2015.810059,2015.97998,2001.01001,2012.099976,2012.099976,3956260000
11/5/2014,2015.290039,2023.77002,2014.420044,2023.569946,2023.569946,3766590000
11/6/2014,2023.329956,2031.609985,2015.859985,2031.209961,2031.209961,3669770000
11/7/2014,2032.359985,2034.26001,2025.069946,2031.920044,2031.920044,3704280000
11/10/2014,2032.01001,2038.699951,2030.170044,2038.26001,2038.26001,3284940000
11/11/2014,2038.199951,2041.280029,2035.280029,2039.680054,2039.680054,2958320000
11/12/2014,2037.75,2040.329956,2031.949951,2038.25,2038.25,3246650000
11/13/2014,2039.209961,2046.180054,2030.439941,2039.329956,2039.329956,3455270000
11/14/2014,2039.73999,2042.219971,2035.199951,2039.819946,2039.819946,3227130000
11/17/2014,2038.290039,2043.069946,2034.459961,2041.319946,2041.319946,3152890000
11/18/2014,2041.47998,2056.080078,2041.47998,2051.800049,2051.800049,3416190000
11/19/2014,2051.159912,2052.139893,2040.369995,2048.719971,2048.719971,3390850000
11/20/2014,2045.869995,2053.840088,2040.48999,2052.75,2052.75,3128290000
11/21/2014,2057.459961,2071.459961,2056.75,2063.5,2063.5,3916420000
11/24/2014,2065.070068,2070.169922,2065.070068,2069.409912,2069.409912,3128060000
11/25/2014,2070.149902,2074.209961,2064.75,2067.030029,2067.030029,3392940000
11/26/2014,2067.360107,2073.290039,2066.620117,2072.830078,2072.830078,2745260000
